order_id,customer_id,customer_name,customer_email,age,gender,country,order_date,product_id,product_name,category,quantity,unit_price,discount_pct,total_amount,payment_method,shipping_method,order_status,rating
ORD-01409,CUST-0196,Stephen Price,turnertyler@example.com,42.0,Other,Argentina,2022-12-10,PRD-4411,Blender,Home & Kitchen,2,133.19,20,213.104,Paypal,Express,Cancelled,
ORD-01293,CUST-0196,Michael Lewis,farmerjustin@example.com,48.0,Male,Germany,2022-05-23,PRD-1566,Yoga Mat,Sports,3,74.69,0,224.07,Cash On Delivery,Free Shipping,Delivered,4.0
ORD-00317,CUST-0282,Ana Clements,Unknown,37.0,Male,Spain,2023-03-05,PRD-8117,Cookware Set,Home & Kitchen,3,259.77,5,740.3444999999999,Paypal,Express,Processing,
ORD-00031,CUST-0215,Vickie Fitzgerald,rsolomon@example.com,33.0,Male,Argentina,2023-07-04,PRD-3710,Protein Powder,Sports,1,66.49,0,66.49,Paypal,Free Shipping,Delivered,4.0
ORD-00969,CUST-0360,Cindy Vargas,keith59@example.org,52.0,Male,Canada,2023-05-24,PRD-7809,SQL Mastery,Books,4,25.89,10,93.20400000000001,Debit Card,Express,Delivered,
ORD-00307,CUST-0275,Barbara Richards,Unknown,40.0,Male,Colombia,2022-05-24,PRD-2638,Machine Learning Guide,Books,1,35.61,20,28.488,Credit Card,Overnight,Delivered,4.0
ORD-00937,CUST-0369,Lisa Kirk,eric27@example.org,40.0,Male,Germany,2022-06-21,PRD-9229,Headphones,Electronics,3,1302.85,10,3517.6949999999997,Paypal,Unknown,Shipped,4.0
ORD-00579,CUST-0187,Michelle Lee,savannahperez@example.org,46.0,Male,Mexico,2023-10-10,PRD-2638,Machine Learning Guide,Books,2,945.7944933759596,25,1418.6917400639395,Credit Card,Free Shipping,Cancelled,
ORD-00340,CUST-0217,Christopher Lambert,Unknown,63.0,Male,Germany,2023-12-25,PRD-2122,Coffee Maker,Home & Kitchen,5,270.97,0,1354.8500000000001,Credit Card,Standard,Processing,
ORD-00480,CUST-0019,Kelly Humphrey,Unknown,51.0,Female,Mexico,2022-12-24,PRD-9948,Jacket,Clothing,1,119.33,0,119.33,Cash On Delivery,Free Shipping,Delivered,
ORD-00678,CUST-0026,Christopher Davis,austinallen@example.com,49.0,Female,Mexico,2023-09-25,PRD-3568,Dress,Clothing,3,86.46,15,220.47299999999998,Cash On Delivery,Express,Delivered,
ORD-00608,CUST-0292,Zachary Roberts,Unknown,41.0,Other,Germany,2023-09-23,PRD-9948,Jacket,Clothing,5,23.94,10,107.73,Debit Card,Express,Delivered,
ORD-00372,CUST-0346,Jessica Middleton,josephwilson@example.net,23.0,Other,Canada,2022-12-08,PRD-9512,Smartwatch,Electronics,3,1205.97,0,3617.91,Cash On Delivery,Free Shipping,Cancelled,5.0
ORD-00469,CUST-0227,Robert Park,adamfarmer@example.com,42.0,Female,Brazil,2023-12-06,PRD-3484,Hoodie,Clothing,5,29.44,0,147.20000000000002,Cash On Delivery,Express,Cancelled,4.0
ORD-00276,CUST-0068,Derek Neal,vargasdavid@example.com,42.0,Other,USA,2022-11-22,PRD-1055,Laptop,Electronics,2,830.7,25,1246.0500000000002,Debit Card,Free Shipping,Cancelled,3.0
ORD-01048,CUST-0311,Christopher Cain,seanmitchell@example.org,28.0,Female,Canada,2023-06-07,PRD-4145,Python for Beginners,Books,5,18.26,20,73.04,Credit Card,Standard,Delivered,5.0
ORD-00933,CUST-0265,Amanda Carpenter,carlos65@example.net,46.0,Male,Argentina,2022-02-08,PRD-2758,Tablet,Electronics,2,918.55,10,1653.3899999999999,Paypal,Overnight,Delivered,3.0
ORD-00702,CUST-0133,Elaine Mccarthy,lrussell@example.org,22.0,Male,Germany,2022-11-28,PRD-4411,Blender,Home & Kitchen,3,131.09,0,393.27,Debit Card,Overnight,Processing,2.0
ORD-00487,CUST-0022,Rebecca Moreno,Unknown,42.0,Male,Argentina,2023-05-28,PRD-7809,SQL Mastery,Books,3,22.98,20,55.152,Debit Card,Standard,Processing,
ORD-01173,CUST-0211,Samantha Wilson,asims@example.net,55.0,Male,Colombia,2023-08-13,PRD-1566,Yoga Mat,Sports,1,139.57,0,139.57,Cash On Delivery,Express,Delivered,5.0
ORD-01390,CUST-0347,Tyler Lopez,rwilliams@example.org,34.0,Male,Spain,2022-01-23,PRD-3710,Protein Powder,Sports,4,57.9,10,208.44,Paypal,Free Shipping,Delivered,
ORD-00840,CUST-0311,Elijah Lopez,jessica94@example.org,56.0,Other,Canada,2022-11-19,PRD-2122,Coffee Maker,Home & Kitchen,4,1453.1197,5,5521.8548599999995,Credit Card,Unknown,Delivered,
ORD-01363,CUST-0126,Antonio Beard,robert97@example.net,57.0,Male,USA,2023-02-15,PRD-3639,Sneakers,Clothing,1,15.58,20,12.464,Paypal,Free Shipping,Delivered,3.0
ORD-00100,CUST-0084,Raymond Gaines,grosario@example.com,34.0,Other,Colombia,2023-03-07,PRD-1122,Bicycle Helmet,Sports,1,53.02,10,47.718,Cash On Delivery,Unknown,Shipped,2.0
ORD-00847,CUST-0056,James Mckee,roberttodd@example.net,22.0,Male,Germany,2022-06-21,PRD-8929,Running Shoes,Sports,4,94.99,5,360.962,Credit Card,Express,Processing,5.0
ORD-00770,CUST-0173,Dr. Austin Lopez MD,russell44@example.net,45.0,Male,Argentina,,PRD-3413,USB Hub,Electronics,3,957.87,0,2873.61,Bank Transfer,Overnight,Delivered,5.0
ORD-00463,CUST-0395,Matthew Smith,robinmontoya@example.org,48.0,Other,Argentina,2023-07-14,PRD-9512,Smartwatch,Electronics,1,1453.1197,0,1453.1197,Debit Card,Express,Delivered,4.0
ORD-00384,CUST-0337,Amanda Smith,rodriguezamy@example.net,42.0,Other,Germany,2023-05-26,PRD-3484,Hoodie,Clothing,5,1453.1197,15,6175.758725,Cash On Delivery,Free Shipping,Delivered,5.0
ORD-00507,CUST-0212,Hannah Newman,arnoldpaul@example.net,27.0,Male,Colombia,2023-12-29,PRD-3484,Hoodie,Clothing,2,90.09,0,180.18,Paypal,Express,Unknown,5.0
ORD-00484,CUST-0076,Jeffery Melendez,xcontreras@example.org,41.0,Other,USA,2023-02-15,PRD-2638,Machine Learning Guide,Books,2,29.9,5,56.809999999999995,Cash On Delivery,Standard,Delivered,
ORD-00169,CUST-0350,Audrey Case,Unknown,56.0,Female,USA,2022-07-12,PRD-4492,Cap,Clothing,5,25.03,25,93.86250000000001,Credit Card,Express,Delivered,5.0
ORD-00060,CUST-0194,Alan Wilson,Unknown,42.0,Female,Brazil,2022-11-12,PRD-8866,T-Shirt,Clothing,2,61.27,25,91.905,Paypal,Standard,Cancelled,
ORD-00024,CUST-0014,Kimberly Gray,Unknown,42.0,Female,Brazil,2022-11-30,PRD-4411,Blender,Home & Kitchen,5,101.61,5,482.6475,Credit Card,Unknown,Processing,4.0
ORD-00346,CUST-0250,William Graham,browndarryl@example.org,22.0,Male,Brazil,2022-08-07,PRD-2122,Coffee Maker,Home & Kitchen,5,223.03,10,1003.6350000000001,Debit Card,Standard,Delivered,5.0
ORD-00345,CUST-0368,Melanie Myers,joe43@example.net,40.0,Other,Germany,2023-07-12,PRD-7329,Air Fryer,Home & Kitchen,4,167.78,5,637.564,Bank Transfer,Express,Shipped,5.0
ORD-00050,CUST-0050,Jennifer Thomas,Unknown,57.0,Male,Brazil,2022-10-12,PRD-2638,Machine Learning Guide,Books,5,11.46,0,57.300000000000004,Debit Card,Overnight,Delivered,5.0
ORD-01287,CUST-0211,Jacob Knight,ericperez@example.org,32.0,Female,Germany,2022-09-20,PRD-3639,Sneakers,Clothing,3,90.05,20,216.12,Debit Card,Free Shipping,Delivered,5.0
ORD-01023,CUST-0226,Amanda Townsend,savannahholloway@example.org,63.0,Male,Spain,2022-10-15,PRD-6586,Lamp,Home & Kitchen,5,47.04,0,235.2,Debit Card,Express,Cancelled,4.0
ORD-00755,CUST-0200,William Moore,Unknown,43.0,Other,Mexico,2023-01-18,PRD-9948,Jacket,Clothing,3,85.25,15,217.3875,Credit Card,Unknown,Delivered,5.0
ORD-00515,CUST-0128,Sarah Taylor,julie28@example.com,59.0,Other,Colombia,2023-01-18,PRD-1122,Bicycle Helmet,Sports,2,34.9,15,59.33,Cash On Delivery,Overnight,Delivered,5.0
ORD-00221,CUST-0273,Christine Chan,Unknown,21.0,Female,Canada,2022-11-16,PRD-1055,Laptop,Electronics,4,606.22,15,2061.148,Cash On Delivery,Standard,Shipped,4.0
ORD-01069,CUST-0321,Melissa Crawford,bullockryan@example.net,42.0,Female,Canada,2022-07-24,PRD-2638,Machine Learning Guide,Books,3,38.26,15,97.563,Paypal,Free Shipping,Delivered,4.0
ORD-01161,CUST-0326,Jonathan Shields,sawyerdarren@example.com,42.0,Male,Colombia,2022-08-16,PRD-9948,Jacket,Clothing,5,109.14,0,545.7,Credit Card,Express,Unknown,4.0
ORD-00066,CUST-0186,Allen Bennett,Unknown,42.0,Female,Canada,2023-06-27,PRD-8929,Running Shoes,Sports,1,180.72,25,135.54,Debit Card,Overnight,Returned,
ORD-00430,CUST-0342,Christopher Ellis,pwalker@example.com,42.0,Female,Mexico,2023-11-28,PRD-2758,Tablet,Electronics,2,63.32,25,94.98,Credit Card,Overnight,Shipped,
ORD-00479,CUST-0280,Thomas Hartman,bryanking@example.org,42.0,Male,Spain,2023-01-29,PRD-4492,Cap,Clothing,4,111.38,5,423.24399999999997,Debit Card,Standard,Delivered,5.0
ORD-00637,CUST-0172,Ashley Dennis,Unknown,19.0,Other,USA,2023-05-29,PRD-9229,Headphones,Electronics,2,881.34,10,1586.412,Paypal,Overnight,Shipped,5.0
ORD-00994,CUST-0306,Cody Elliott,churchsara@example.org,44.0,Female,Brazil,2022-05-20,PRD-2638,Machine Learning Guide,Books,5,9.04,10,40.68,Bank Transfer,Free Shipping,Delivered,3.0
ORD-01031,CUST-0206,Tina Ferguson,timsanchez@example.net,53.0,Female,Colombia,2022-04-29,PRD-3710,Protein Powder,Sports,3,78.75,25,177.1875,Cash On Delivery,Express,Returned,5.0
ORD-00938,CUST-0209,James Davidson,hendrickslisa@example.com,26.0,Other,Colombia,2022-11-08,PRD-7809,SQL Mastery,Books,2,33.77,0,67.54,Bank Transfer,Overnight,Returned,5.0
ORD-00813,CUST-0115,Patrick Anderson,jeremy87@example.org,42.0,Female,Mexico,2023-07-21,PRD-3568,Dress,Clothing,1,17.41,25,13.057500000000001,Debit Card,Unknown,Delivered,5.0
ORD-00683,CUST-0069,Rachel Miller,vholmes@example.org,50.0,Male,USA,2023-11-09,PRD-3710,Protein Powder,Sports,4,155.58,15,528.972,Credit Card,Express,Shipped,5.0
ORD-00240,CUST-0160,Sheri Armstrong,randyedwards@example.net,54.0,Female,Mexico,2023-06-17,PRD-7329,Air Fryer,Home & Kitchen,2,183.57,5,348.78299999999996,Credit Card,Standard,Delivered,
ORD-00124,CUST-0336,Amy Freeman,Unknown,41.0,Other,Spain,2023-07-05,PRD-4145,Python for Beginners,Books,1,36.79,5,34.9505,Debit Card,Standard,Shipped,5.0
ORD-00644,CUST-0102,Garrett Morgan,nicolas83@example.org,26.0,Other,Spain,2023-08-18,PRD-3639,Sneakers,Clothing,1,68.59,20,54.87200000000001,Credit Card,Express,Returned,4.0
ORD-00077,CUST-0120,Kenneth Sanchez,Unknown,58.0,Other,Brazil,2023-05-16,PRD-1055,Laptop,Electronics,4,350.08,25,1050.24,Debit Card,Overnight,Delivered,4.0
ORD-00846,CUST-0160,James Boyd,monroesherry@example.org,46.0,Male,Argentina,2022-06-16,PRD-3639,Sneakers,Clothing,1,69.98,0,69.98,Cash On Delivery,Express,Delivered,5.0
ORD-01275,CUST-0391,Jessica Wong,dheath@example.com,26.0,Male,Mexico,2023-03-17,PRD-1566,Yoga Mat,Sports,1,168.74,15,143.429,Credit Card,Standard,Delivered,5.0
ORD-00782,CUST-0304,Cassandra White,bendermichael@example.net,35.0,Male,Spain,2023-04-09,PRD-8866,T-Shirt,Clothing,1,42.54,10,38.286,Credit Card,Overnight,Cancelled,4.0
ORD-00052,CUST-0177,Angela Brown,Unknown,35.0,Female,Mexico,2022-06-20,PRD-8866,T-Shirt,Clothing,5,25.09,10,112.905,Credit Card,Standard,Shipped,
ORD-00071,CUST-0024,George David,Unknown,25.0,Male,Mexico,2023-08-05,PRD-3484,Hoodie,Clothing,1,29.29,20,23.432000000000002,Cash On Delivery,Express,Shipped,5.0
ORD-00434,CUST-0054,John Joseph,Unknown,21.0,Other,Colombia,2023-01-06,PRD-4148,Data Science Handbook,Books,2,41.78,0,83.56,Debit Card,Free Shipping,Shipped,5.0
ORD-01286,CUST-0398,Victor Figueroa,carrsusan@example.com,58.0,Male,Germany,2022-10-28,PRD-3710,Protein Powder,Sports,4,105.41,0,421.64,Paypal,Overnight,Delivered,5.0
ORD-00241,CUST-0205,Johnny Ruiz,Unknown,42.0,Other,Colombia,2022-01-25,PRD-2758,Tablet,Electronics,2,191.66,0,383.32,Debit Card,Standard,Delivered,4.0
ORD-00125,CUST-0256,Daniel Durham,Unknown,50.0,Female,Germany,2023-02-22,PRD-8929,Running Shoes,Sports,2,61.6,10,110.88000000000001,Credit Card,Free Shipping,Shipped,4.0
ORD-01102,CUST-0218,Jill Alexander,Unknown,53.0,Female,Mexico,2023-05-28,PRD-9512,Smartwatch,Electronics,5,1150.65,15,4890.2625,Debit Card,Overnight,Shipped,4.0
ORD-00375,CUST-0062,Erin Weiss,aaron74@example.com,33.0,Other,Colombia,2023-09-02,PRD-8117,Cookware Set,Home & Kitchen,1,147.14,0,147.14,Cash On Delivery,Express,Delivered,5.0
ORD-01400,CUST-0354,Patricia Sanchez DVM,breanna17@example.com,28.0,Male,Argentina,2022-08-05,PRD-4145,Python for Beginners,Books,1,19.52,0,19.52,Bank Transfer,Overnight,Delivered,3.0
ORD-00980,CUST-0381,Laurie Tanner DDS,andreacrawford@example.org,64.0,Other,Brazil,2023-11-22,PRD-3639,Sneakers,Clothing,2,42.95,25,64.42500000000001,Bank Transfer,Express,Processing,4.0
ORD-00975,CUST-0062,Oscar Williams,allisonwilliams@example.com,55.0,Other,Colombia,2023-08-20,PRD-2638,Machine Learning Guide,Books,5,16.86,10,75.87,Credit Card,Standard,Returned,4.0
ORD-00333,CUST-0085,Brittany Crawford,brittany52@example.org,49.0,Other,Mexico,2023-05-08,PRD-2881,Smartphone,Electronics,1,245.92,5,233.62399999999997,Cash On Delivery,Express,Shipped,
ORD-01147,CUST-0138,Erica Allison,jadediaz@example.org,49.0,Male,USA,,PRD-7329,Air Fryer,Home & Kitchen,1,66.67,15,56.6695,Bank Transfer,Standard,Delivered,
ORD-00260,CUST-0037,Rachel Valdez,Unknown,40.0,Female,Mexico,2022-08-14,PRD-8866,T-Shirt,Clothing,2,16.56,15,28.151999999999997,Cash On Delivery,Express,Processing,4.0
ORD-00176,CUST-0058,Christopher Moore,joe00@example.org,53.0,Other,Germany,2022-11-28,PRD-2758,Tablet,Electronics,5,1074.61,15,4567.092499999999,Cash On Delivery,Express,Delivered,5.0
ORD-01484,CUST-0371,Brian Jacobson,nicholasthompson@example.org,62.0,Female,Argentina,2023-01-30,PRD-5166,Pillow Set,Home & Kitchen,5,243.67,25,913.7624999999999,Debit Card,Express,Delivered,5.0
ORD-00716,CUST-0366,Kevin Moody,Unknown,65.0,Male,Argentina,2023-06-17,PRD-4492,Cap,Clothing,5,49.42,0,247.10000000000002,Cash On Delivery,Free Shipping,Cancelled,4.0
ORD-00602,CUST-0341,Mrs. Chelsea Boyd PhD,Unknown,56.0,Male,Argentina,2023-10-30,PRD-7809,SQL Mastery,Books,4,28.53,15,97.002,Cash On Delivery,Standard,Delivered,4.0
ORD-00899,CUST-0248,Robert Ward,yolandapeterson@example.com,29.0,Female,Canada,2023-06-25,PRD-4148,Data Science Handbook,Books,3,12.86,0,38.58,Cash On Delivery,Express,Delivered,2.0
ORD-01091,CUST-0145,Benjamin Sims Jr.,marissamiller@example.net,21.0,Other,Colombia,,PRD-8866,T-Shirt,Clothing,4,57.81,0,231.24,Debit Card,Express,Unknown,
ORD-01422,CUST-0352,Adam Garrett,caseylaura@example.org,62.0,Other,USA,2023-05-09,PRD-3639,Sneakers,Clothing,3,86.02,20,206.448,Paypal,Express,Delivered,
ORD-01019,CUST-0294,Bryan Meyer,tamararodriguez@example.com,39.0,Female,Germany,2022-06-13,PRD-1122,Bicycle Helmet,Sports,5,113.84,20,455.36000000000007,Cash On Delivery,Free Shipping,Processing,
ORD-01375,CUST-0350,Nicole Lucas,santoseric@example.org,48.0,Female,Mexico,2023-09-30,PRD-7809,SQL Mastery,Books,3,26.03,20,62.47200000000001,Paypal,Express,Delivered,
ORD-01308,CUST-0234,Allison Nguyen,wcross@example.org,36.0,Other,USA,2022-10-13,PRD-7329,Air Fryer,Home & Kitchen,4,91.64,15,311.576,Paypal,Express,Returned,5.0
ORD-01337,CUST-0121,Robert Gallagher,Unknown,59.0,Male,Spain,2022-02-12,PRD-8929,Running Shoes,Sports,2,173.63,20,277.808,Bank Transfer,Overnight,Delivered,
ORD-00486,CUST-0066,Brandon Jackson,sandraroberts@example.net,36.0,Male,Canada,2023-10-16,PRD-9948,Jacket,Clothing,2,21.71,5,41.249,Cash On Delivery,Standard,Delivered,5.0
ORD-00353,CUST-0377,Monique Armstrong,gonzalezpatricia@example.com,22.0,Other,Argentina,2022-05-06,PRD-7809,SQL Mastery,Books,4,42.4,0,169.6,Bank Transfer,Overnight,Delivered,
ORD-00068,CUST-0099,Heidi Allen,Unknown,43.0,Female,USA,2022-06-29,PRD-5166,Pillow Set,Home & Kitchen,4,72.71,10,261.756,Debit Card,Standard,Delivered,2.0
ORD-00845,CUST-0084,Cory White,cuevascharles@example.com,41.0,Other,Brazil,2023-05-08,PRD-4411,Blender,Home & Kitchen,4,54.0,0,216.0,Credit Card,Overnight,Processing,3.0
ORD-00907,CUST-0045,James Frost,rhonda49@example.com,49.0,Female,Argentina,2023-06-26,PRD-1566,Yoga Mat,Sports,2,164.62,5,312.778,Paypal,Unknown,Returned,5.0
ORD-00271,CUST-0143,Angela Lucas,ryan19@example.com,19.0,Male,Argentina,2022-02-18,PRD-8929,Running Shoes,Sports,3,161.01,10,434.727,Cash On Delivery,Express,Delivered,5.0
ORD-00136,CUST-0135,Mr. Jeremy Marquez,idawson@example.net,42.0,Female,Spain,2023-06-14,PRD-2638,Machine Learning Guide,Books,3,35.45,0,106.35000000000001,Bank Transfer,Overnight,Returned,1.0
ORD-00536,CUST-0036,Shelley Davis,balexander@example.org,60.0,Male,Argentina,2022-07-15,PRD-4148,Data Science Handbook,Books,3,25.53,10,68.93100000000001,Bank Transfer,Overnight,Processing,
ORD-01442,CUST-0393,Matthew Nicholson,todd58@example.net,50.0,Male,Brazil,,PRD-2122,Coffee Maker,Home & Kitchen,5,262.57,10,1181.565,Cash On Delivery,Overnight,Delivered,5.0
ORD-00714,CUST-0226,Jasmine Castro,bbrennan@example.net,41.0,Female,Mexico,2022-04-21,PRD-1566,Yoga Mat,Sports,3,161.82,10,436.914,Credit Card,Free Shipping,Delivered,
ORD-00910,CUST-0125,Brian Wilson,lsullivan@example.org,53.0,Female,Mexico,2023-04-10,PRD-2758,Tablet,Electronics,3,815.33,0,2445.9900000000002,Cash On Delivery,Free Shipping,Unknown,4.0
ORD-00684,CUST-0238,Timothy Holden,gtodd@example.net,42.0,Female,Canada,2023-05-11,PRD-8866,T-Shirt,Clothing,5,13.75,25,51.5625,Cash On Delivery,Free Shipping,Shipped,5.0
ORD-00811,CUST-0027,Rodney Smith,masonkyle@example.org,42.0,Male,Brazil,,PRD-2758,Tablet,Electronics,5,578.63,0,2893.15,Bank Transfer,Overnight,Delivered,3.0
ORD-00966,CUST-0282,Laurie Gonzalez DDS,jason97@example.net,58.0,Female,Mexico,2022-04-03,PRD-2881,Smartphone,Electronics,4,88.64,10,319.104,Credit Card,Standard,Delivered,
ORD-00030,CUST-0280,Jessica Reilly,Unknown,42.0,Male,Mexico,2023-10-07,PRD-3484,Hoodie,Clothing,2,29.19,20,46.70400000000001,Credit Card,Express,Shipped,4.0
ORD-00586,CUST-0340,Chris Richardson,brittneygraham@example.org,33.0,Male,Germany,2023-12-25,PRD-9948,Jacket,Clothing,3,72.83,0,218.49,Credit Card,Express,Unknown,4.0
ORD-00539,CUST-0180,Debra Jenkins,gomezbrenda@example.com,41.0,Female,Canada,2023-04-30,PRD-3413,USB Hub,Electronics,2,442.47,0,884.94,Bank Transfer,Free Shipping,Processing,4.0
ORD-01053,CUST-0268,Juan Davidson,johnsonrobert@example.net,30.0,Female,Germany,2023-08-26,PRD-4145,Python for Beginners,Books,5,23.6,0,118.0,Credit Card,Free Shipping,Unknown,4.0
ORD-01213,CUST-0358,William Glover,hbarnes@example.net,42.0,Male,Brazil,2022-08-13,PRD-4145,Python for Beginners,Books,5,10.55,0,52.75,Credit Card,Express,Delivered,
ORD-00680,CUST-0128,Emily Mendoza,Unknown,52.0,Male,Spain,2022-08-17,PRD-3639,Sneakers,Clothing,1,51.47,15,43.7495,Bank Transfer,Free Shipping,Returned,
ORD-00426,CUST-0314,Casey Wright,rossrodney@example.com,46.0,Other,USA,2023-03-22,PRD-3639,Sneakers,Clothing,1,63.04,0,63.04,Bank Transfer,Overnight,Delivered,5.0
ORD-00527,CUST-0157,Alexandra Wood,nporter@example.net,39.0,Female,Mexico,2022-01-17,PRD-3484,Hoodie,Clothing,1,105.68,5,100.396,Cash On Delivery,Free Shipping,Delivered,4.0
ORD-01094,CUST-0037,Steven Santiago,william69@example.org,30.0,Male,Colombia,,PRD-8866,T-Shirt,Clothing,5,79.3,15,337.025,Cash On Delivery,Standard,Delivered,
ORD-01439,CUST-0348,Johnathan Jackson,sarahudson@example.net,25.0,Male,USA,,PRD-8929,Running Shoes,Sports,3,19.17,10,51.75900000000001,Bank Transfer,Express,Returned,3.0
ORD-00368,CUST-0096,Tracy Walker,sue40@example.org,57.0,Other,Mexico,2022-03-08,PRD-4492,Cap,Clothing,2,22.2,0,44.4,Cash On Delivery,Express,Shipped,
ORD-00185,CUST-0257,Dominic Mitchell,Unknown,43.0,Female,Colombia,2022-06-27,PRD-9948,Jacket,Clothing,3,20.11,25,45.2475,Cash On Delivery,Free Shipping,Delivered,
ORD-00245,CUST-0225,Charles Huang,michaelramirez@example.com,57.0,Female,Brazil,2023-11-12,PRD-1055,Laptop,Electronics,1,878.45,0,878.45,Bank Transfer,Standard,Delivered,3.0
ORD-01360,CUST-0192,Richard Hurst,aarnold@example.org,61.0,Female,Germany,2022-07-29,PRD-1122,Bicycle Helmet,Sports,2,109.98,0,219.96,Paypal,Standard,Delivered,4.0
ORD-00381,CUST-0318,Christopher May,april60@example.net,43.0,Male,Argentina,2023-11-02,PRD-5166,Pillow Set,Home & Kitchen,2,69.3,20,110.88,Debit Card,Overnight,Cancelled,3.0
ORD-01358,CUST-0151,Bobby Jackson,richardmorales@example.org,36.0,Other,Brazil,2022-12-04,PRD-1566,Yoga Mat,Sports,1,145.22,0,145.22,Paypal,Standard,Delivered,3.0
ORD-01334,CUST-0019,Seth Woodward,lambmatthew@example.com,42.0,Other,Germany,2023-05-13,PRD-4411,Blender,Home & Kitchen,2,127.62,15,216.954,Cash On Delivery,Free Shipping,Delivered,5.0
ORD-00842,CUST-0368,Laura Johnson,brettmitchell@example.com,61.0,Male,Brazil,2023-08-18,PRD-9512,Smartwatch,Electronics,1,1309.39,25,982.0425,Bank Transfer,Overnight,Processing,5.0
ORD-01108,CUST-0137,Briana Lee,gonzalezangela@example.net,26.0,Male,Germany,2022-11-05,PRD-8866,T-Shirt,Clothing,1,31.44,0,31.44,Bank Transfer,Standard,Shipped,4.0
ORD-00382,CUST-0042,Luis Stewart,kathy40@example.org,37.0,Male,Canada,2022-05-28,PRD-8117,Cookware Set,Home & Kitchen,1,243.73,0,243.73,Paypal,Overnight,Delivered,3.0
ORD-00590,CUST-0260,Brittany Larson,michaelnguyen@example.net,41.0,Female,Germany,2022-08-26,PRD-8929,Running Shoes,Sports,2,79.51,10,143.11800000000002,Cash On Delivery,Overnight,Delivered,4.0
ORD-00675,CUST-0357,Elizabeth Perry,bensonlaura@example.com,47.0,Male,Colombia,2022-06-16,PRD-4492,Cap,Clothing,5,99.59,0,497.95000000000005,Paypal,Overnight,Cancelled,5.0
ORD-01106,CUST-0332,Kelly Dickson,Unknown,57.0,Other,Canada,2022-03-22,PRD-7809,SQL Mastery,Books,5,48.48,20,193.92,Paypal,Overnight,Cancelled,
ORD-00671,CUST-0399,James Hernandez,sjohnson@example.net,42.0,Other,Brazil,2023-02-16,PRD-2881,Smartphone,Electronics,4,1453.1197,0,5812.4788,Credit Card,Standard,Delivered,
ORD-00142,CUST-0186,Benjamin Lopez,yallen@example.org,43.0,Male,Spain,2023-01-15,PRD-8073,Dumbbells,Sports,4,188.48,20,603.136,Bank Transfer,Overnight,Delivered,5.0
ORD-01366,CUST-0290,Jordan Welch,heathermorris@example.org,45.0,Male,Mexico,2022-10-31,PRD-2122,Coffee Maker,Home & Kitchen,5,261.24,25,979.6500000000001,Debit Card,Unknown,Processing,5.0
ORD-01059,CUST-0220,Laura Hamilton,sfisher@example.org,37.0,Male,Germany,2023-09-02,PRD-8929,Running Shoes,Sports,1,15.53,15,13.2005,Cash On Delivery,Standard,Delivered,3.0
